Species,Location
LMBass,AL1
Crappie,AL1
Crappie,AL1
SMBass,AL1
LMBass,AL1
Catfish,AL1
Crappie,AL1
Crappie,AL1
Walleye,AL1
Catfish,AL1
Other,AL1
Catfish,AL1
LMBass,AL1
LMBass,AL1
SMBass,AL1
Catfish,AL1
SMBass,AL1
Crappie,AL1
Walleye,AL1
Catfish,AL1
Crappie,AL1
Other,AL1
LMBass,AL1
LMBass,AL1
Walleye,AL1
Catfish,AL1
SMBass,AL1
Catfish,AL1
LMBass,AL1
Walleye,AL1
LMBass,AL1
SMBass,AL1
Catfish,AL1
SMBass,AL1
Catfish,AL1
Walleye,AL1
Other,AL1
Crappie,AL1
Catfish,AL1
Walleye,AL1
Catfish,AL1
Catfish,AL1
Other,AL1
Walleye,AL1
Crappie,AL1
Walleye,AL1
Catfish,AL1
SMBass,AL1
Crappie,AL1
Catfish,AL1
Catfish,AL1
Crappie,AL1
Crappie,AL1
Walleye,AL1
LMBass,AL1
Steelhead,AL2
Catfish,AL2
LMBass,AL2
Walleye,AL2
Catfish,AL2
SMBass,AL2
Walleye,AL2
Crappie,AL2
Other,AL2
Crappie,AL2
Walleye,AL2
Catfish,AL2
Walleye,AL2
Catfish,AL2
LMBass,AL2
Crappie,AL2
LMBass,AL2
Walleye,AL2
Crappie,AL2
Catfish,AL2
Catfish,AL2
Crappie,AL2
Walleye,AL2
Walleye,AL2
Walleye,AL2
LMBass,AL2
Catfish,AL2
Catfish,AL2
Walleye,AL2
LMBass,AL2
Catfish,AL2
LMBass,AL2
Catfish,AL2
Walleye,AL2
LMBass,AL2
Catfish,AL2
Other,AL2
Other,AL2
Steelhead,AL2
Walleye,AL2
Crappie,AL2
Crappie,AL2
Walleye,AL2
Catfish,AL2
Catfish,AL2
LMBass,AL2
LMBass,AL2
Other,AL2
Walleye,AL2
Crappie,AL2
Crappie,AL2
LMBass,AL2
Catfish,AL2
Other,AL2
Crappie,AL2
SMBass,AL2
LMBass,AL2
Walleye,AL2
LMBass,AL2
Steelhead,AL2
SMBass,AL2
Other,AL2
LMBass,AL2
Catfish,AL2
Other,AL2
SMBass,AL2
Catfish,AL2
Walleye,AL2
Other,AL2
Steelhead,AL2
Catfish,AL2
Catfish,HI1
LMBass,HI1
Steelhead,HI1
Walleye,HI1
Walleye,HI1
Catfish,HI1
Other,HI1
LMBass,HI1
SMBass,HI1
Catfish,HI1
LMBass,HI1
Steelhead,HI1
LMBass,HI1
SMBass,HI1
Catfish,HI1
SMBass,HI1
Crappie,HI1
Other,HI1
LMBass,HI1
LMBass,HI1
Crappie,HI1
Catfish,HI1
Crappie,HI1
Walleye,HI1
Other,HI1
Walleye,HI1
Catfish,HI1
Walleye,HI1
Catfish,HI1
LMBass,HI1
Crappie,HI1
Walleye,HI1
Walleye,HI1
Crappie,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
LMBass,HI1
Catfish,HI1
LMBass,HI1
Other,HI1
Walleye,HI1
Catfish,HI1
Catfish,HI1
Other,HI1
Catfish,HI1
LMBass,HI1
Other,HI1
Catfish,HI1
Walleye,HI1
Catfish,HI1
LMBass,HI1
Catfish,HI1
Crappie,HI1
Catfish,HI1
LMBass,HI1
LMBass,HI1
LMBass,HI1
Walleye,HI1
Crappie,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
Other,HI1
LMBass,HI1
Walleye,HI1
LMBass,HI1
Walleye,HI1
SMBass,HI1
Steelhead,HI1
Walleye,HI1
Other,HI1
SMBass,HI1
Crappie,HI1
LMBass,HI1
Catfish,HI1
SMBass,HI1
Walleye,HI1
Catfish,HI1
LMBass,HI1
SMBass,HI1
Walleye,HI1
LMBass,HI1
Catfish,HI1
Catfish,HI1
Other,HI1
LMBass,HI1
Walleye,HI1
SMBass,HI1
Crappie,HI1
SMBass,HI1
Catfish,HI1
LMBass,HI1
LMBass,HI1
LMBass,HI1
Catfish,HI1
Walleye,HI1
Crappie,HI1
LMBass,HI1
LMBass,HI1
Crappie,HI1
SMBass,HI1
LMBass,HI1
LMBass,HI1
SMBass,HI1
Steelhead,HI1
Other,HI1
SMBass,HI1
Catfish,HI1
Walleye,HI1
Catfish,HI1
Other,HI1
Catfish,HI1
Other,HI1
LMBass,HI1
Walleye,HI1
LMBass,HI1
Crappie,HI1
LMBass,HI1
Other,HI1
Crappie,HI1
Catfish,HI1
Walleye,HI1
Walleye,HI1
Crappie,HI1
Catfish,HI1
Other,HI1
Other,HI1
Walleye,HI1
Other,HI1
Catfish,HI1
LMBass,HI1
LMBass,HI1
LMBass,HI1
Catfish,HI1
Crappie,HI1
LMBass,HI1
Crappie,HI1
Other,HI1
Other,HI1
LMBass,HI1
SMBass,HI1
Walleye,HI1
LMBass,HI1
Walleye,HI1
LMBass,HI1
Catfish,HI1
Steelhead,HI1
SMBass,HI1
SMBass,HI1
Catfish,HI1
Catfish,HI1
Crappie,HI1
Crappie,HI1
Catfish,HI1
Crappie,HI1
SMBass,HI1
Other,HI1
Crappie,HI1
Other,HI1
Catfish,HI1
Catfish,HI1
SMBass,HI1
LMBass,HI1
Catfish,HI1
SMBass,HI1
Catfish,HI1
LMBass,HI1
Walleye,HI1
Catfish,HI1
Catfish,HI1
LMBass,HI1
Other,HI1
Catfish,HI1
Crappie,HI1
LMBass,HI1
Catfish,HI1
SMBass,HI1
Catfish,HI1
Other,HI1
Crappie,HI1
SMBass,HI1
Walleye,HI1
Crappie,HI1
Walleye,HI1
Other,HI1
Catfish,HI1
SMBass,HI1
Crappie,HI1
SMBass,HI1
Catfish,HI1
SMBass,HI1
Catfish,HI1
Other,HI1
Crappie,HI1
Catfish,HI1
SMBass,HI1
Steelhead,HI1
LMBass,HI1
Crappie,HI1
Other,HI1
Other,HI1
LMBass,HI1
LMBass,HI1
SMBass,HI1
Other,HI1
Walleye,HI1
Crappie,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
LMBass,HI1
Other,HI1
LMBass,HI1
Catfish,HI1
LMBass,HI1
Other,HI1
Walleye,HI1
Crappie,HI1
Catfish,HI1
Crappie,HI1
Walleye,HI1
SMBass,HI1
Walleye,HI1
LMBass,HI1
SMBass,HI1
LMBass,HI1
Steelhead,HI1
LMBass,HI1
Catfish,HI1
SMBass,HI1
LMBass,HI1
LMBass,HI1
Walleye,HI1
Catfish,HI1
Catfish,HI1
Catfish,HI1
Walleye,HI1
Other,HI1
LMBass,HI1
Steelhead,HI1
Other,HI1
Catfish,HI1
Catfish,HI1
Crappie,HI1
Crappie,HI1
LMBass,HI1
Crappie,HI1
Catfish,HI1
Catfish,HI1
LMBass,HI2
Walleye,HI2
Walleye,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Crappie,HI2
LMBass,HI2
Catfish,HI2
Steelhead,HI2
Walleye,HI2
Other,HI2
LMBass,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Walleye,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Crappie,HI2
Crappie,HI2
Other,HI2
Catfish,HI2
Walleye,HI2
Other,HI2
Walleye,HI2
Other,HI2
LMBass,HI2
Other,HI2
Catfish,HI2
SMBass,HI2
Catfish,HI2
Other,HI2
Catfish,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
SMBass,HI2
Other,HI2
Crappie,HI2
Catfish,HI2
SMBass,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
Crappie,HI2
SMBass,HI2
Walleye,HI2
Other,HI2
LMBass,HI2
LMBass,HI2
SMBass,HI2
LMBass,HI2
Walleye,HI2
Crappie,HI2
Catfish,HI2
Catfish,HI2
LMBass,HI2
LMBass,HI2
Walleye,HI2
Walleye,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
SMBass,HI2
Catfish,HI2
Other,HI2
LMBass,HI2
Walleye,HI2
Catfish,HI2
Other,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
Catfish,HI2
SMBass,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
LMBass,HI2
Walleye,HI2
Other,HI2
Catfish,HI2
LMBass,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Walleye,HI2
Crappie,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
LMBass,HI2
Crappie,HI2
Catfish,HI2
LMBass,HI2
Walleye,HI2
Crappie,HI2
LMBass,HI2
Walleye,HI2
SMBass,HI2
Crappie,HI2
Steelhead,HI2
Other,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
LMBass,HI2
Crappie,HI2
Steelhead,HI2
Walleye,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Crappie,HI2
Crappie,HI2
SMBass,HI2
Catfish,HI2
Crappie,HI2
LMBass,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
LMBass,HI2
LMBass,HI2
Crappie,HI2
SMBass,HI2
Catfish,HI2
LMBass,HI2
LMBass,HI2
SMBass,HI2
Crappie,HI2
Catfish,HI2
LMBass,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
LMBass,HI2
SMBass,HI2
SMBass,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
Crappie,HI2
SMBass,HI2
Catfish,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Crappie,HI2
LMBass,HI2
LMBass,HI2
Walleye,HI2
Catfish,HI2
Other,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
LMBass,HI2
Crappie,HI2
Crappie,HI2
LMBass,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
Crappie,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
Other,HI2
Walleye,HI2
LMBass,HI2
Catfish,HI2
Crappie,HI2
Catfish,HI2
Other,HI2
Walleye,HI2
Other,HI2
SMBass,HI2
SMBass,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
Other,HI2
Catfish,HI2
Crappie,HI2
Other,HI2
Catfish,HI2
Crappie,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
SMBass,HI2
Walleye,HI2
Catfish,HI2
Walleye,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
Other,HI2
LMBass,HI2
Walleye,HI2
Crappie,HI2
Walleye,HI2
Catfish,HI2
Other,HI2
Crappie,HI2
LMBass,HI2
Crappie,HI2
Catfish,HI2
LMBass,HI2
SMBass,HI2
Catfish,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
Catfish,HI2
SMBass,HI2
SMBass,HI2
Walleye,HI2
Walleye,HI2
Walleye,HI2
Catfish,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Steelhead,HI2
Walleye,HI2
Walleye,HI2
LMBass,HI2
Other,HI2
Catfish,HI2
Walleye,HI2
LMBass,HI2
LMBass,HI2
Crappie,HI2
Catfish,HI2
SMBass,HI2
LMBass,HI2
Walleye,HI2
SMBass,HI2
Walleye,HI2
LMBass,HI2
Walleye,HI2
Crappie,HI2
Steelhead,HI2
Walleye,HI2
Walleye,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
Crappie,HI2
SMBass,HI2
LMBass,HI2
Catfish,HI2
Other,HI2
Steelhead,HI2
Other,HI2
LMBass,HI2
Crappie,HI2
Crappie,HI2
Catfish,HI2
SMBass,HI2
SMBass,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
SMBass,HI2
Steelhead,HI2
Walleye,HI2
LMBass,HI2
Walleye,HI2
Other,HI2
Crappie,HI2
Catfish,HI2
Crappie,HI2
Catfish,HI2
Crappie,HI2
Catfish,HI2
Catfish,HI2
Crappie,HI2
Walleye,HI2
Other,HI2
LMBass,HI2
Catfish,HI2
Crappie,HI2
Crappie,HI2
LMBass,HI2
LMBass,HI2
Catfish,HI2
Catfish,HI2
Walleye,HI2
LMBass,HI2
Other,HI2
Walleye,HI2
Catfish,HI2
LMBass,HI2
Catfish,HI2
Walleye,HI2
Walleye,HI2
